INDEX,DATE,YEAR,MONTH,ACP1,ACP2,ACP3,ACP4,ACP5,ACP6,ACP7,ACP8,ACP9,ACP10,ACP11,ACP12,ACP13,ACP14,ACP15,ACP16,ACP17,ACP18,ACP19,ACP20,ACP21,ACP22,ACP23,ACP24,ACP25
1,199201,1992,01,0,13.58695652,6.793478261,0,2812.497826,40.76086957,1766.304348,944.2934783,163.0434783,13.58695652,0,0,0,67.93478261,625,1283.967391,9510.873913,4239.132609,0,0,0,0,0,0,61.14130435
2,199202,1992,02,24.67105263,0,0,0,24.67105263,0,82.23684211,411.1842105,32.89473684,0,0,0,0,0,0,32.89473684,11217.10526,0,0,115.1315789,0,0,0,0,74.01315789
3,199203,1992,03,2306.032759,1837.284483,0,0,0,0,0,75.43103448,0,926.7241379,700.4310345,134.6982759,0,0,0,0,10867.46034,3857.758621,0,32.32758621,506.4655172,172.4137931,10.77586207,188.5775862,2279.094828
4,199204,1992,04,8371.390385,6298.078846,5498.792308,450.7211538,769.2307692,138.2211538,4320.917308,787.2596154,8269.232692,1568.509615,3725.959615,8173.078846,12163.46923,0,1640.625,1790.865385,4368.986538,10234.38077,2746.394231,3756.009615,5973.553846,7914.669231,5336.534615,5661.057692,625
5,199205,1992,05,17531.24333,2781.25,7489.581667,6645.835,3182.291667,3635.418333,7541.661667,2000,12104.165,2229.166667,5078.128333,6260.415,9468.741667,3338.543333,7291.668333,5505.208333,1989.585,7869.79,1223.958333,1890.625,4718.748333,28005.21333,12218.74333,6026.04,1625
6,199206,1992,06,17860.05,4307.065217,7445.647826,7499.997826,4089.673913,3953.804348,9008.154348,3593.75,14680.70435,2778.532609,6956.521739,5135.869565,10611.41522,1997.282609,4687.5,2798.913043,2044.836957,5781.247826,631.7934783,1107.336957,1514.945652,9891.306522,3552.986957,2044.83913,2085.595652
7,199207,1992,07,25022.32679,4174.107143,7393.978571,9397.319643,4257.810714,4659.601786,7198.660714,2734.375,7405.135714,2092.633929,5742.183929,2862.723214,7684.146429,691.9642857,1378.348214,468.75,5597.098214,2935.267857,2120.535714,1383.928571,2689.732143,16897.31964,10541.29286,4358.258929,2935.267857
8,199208,1992,08,18921.87,3286.458333,10234.38333,6109.368333,3505.208333,5385.411667,5005.205,2416.666667,4994.795,2265.625,3963.545,4885.42,8010.415,72.91666667,411.4583333,848.9583333,2739.585,2416.668333,1911.458333,1354.166667,4161.458333,13182.29167,3421.873333,1328.125,390.625
9,199209,1992,09,26481.67759,3318.965517,6842.672414,7219.82931,3087.282759,7607.762069,8195.043103,4084.051724,14278.01379,2327.586207,3049.565517,3195.043103,10247.83793,468.75,980.6034483,1390.086207,393.3189655,3620.689655,1885.775862,2607.758621,6029.098276,11206.89828,3491.377586,1557.112069,1260.775862
10,199210,1992,10,21531.25333,2322.916667,13286.45167,7630.205,4427.083333,7838.545,10572.92,4468.75,14463.545,5473.958333,17031.25333,2557.291667,14520.83833,947.9166667,2578.128333,2677.086667,2968.75,7197.913333,2406.25,2916.666667,5697.916667,11171.87833,6843.753333,3322.916667,2968.75
11,199211,1992,11,29459.13846,6580.526923,7307.688462,5943.511538,8275.228846,5054.088462,6820.915385,2481.971154,9435.090385,4759.615385,21742.78462,847.3557692,12373.8,7614.180769,4723.553846,6328.128846,18311.30769,7554.088462,1856.971154,3563.701923,7920.673077,26586.54423,7842.553846,5907.451923,7175.486538
12,199212,1992,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,199301,1993,01,0,35.51136364,0,0,1349.427273,49.71590909,0,0,0,21.30681818,0,21.30681818,0,120.7386364,0,0,802.5568182,10625,404.8295455,2911.931818,5973.018182,7.102272727,0,0,0
14,199302,1993,02,0,16.74107143,0,0,0,0,0,0,0,16.74107143,0,0,0,11.16071429,0,0,251.1160714,4179.680357,0,0,0,0,0,0,0
